"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1840700701669982625","Mon Sep 30 23:59:59 +0000 2024","0","@wayangtl Tandanya ada hati yang mesti dijaga","1840904455249936772","","wayangtl","in","","0","0","0","https://x.com/fufufafariz/status/1840904455249936772","615993566","fufufafariz"
"1840363660411326646","Mon Sep 30 23:59:01 +0000 2024","0","@ardisatriawan Tetap kawal fufufafa","1840904214127816827","","ardisatriawan","in","","0","0","0","https://x.com/tumis_haseum/status/1840904214127816827","1790022962487468032","tumis_haseum"
"1840786624713781462","Mon Sep 30 23:58:40 +0000 2024","0","@langityangbiiru @tomowowk @mazzini_gsp Emang anj mending ttp angkat dan bahas trus fufu fafa dll ","1840904123836961254","","silverfollk","in","","0","0","0","https://x.com/silverfollk/status/1840904123836961254","1816658951427268608","silverfollk"
"1840746488689041910","Mon Sep 30 23:58:35 +0000 2024","0","@small_mofo_MK3 Pak buk sepurane aku kudu berjuwang memberantas fekai ","1840904106258612323","","small_mofo_MK3","in","Marbella, Spain","0","0","0","https://x.com/faizdikra/status/1840904106258612323","3923436858","faizdikra"
"1840903202662990238","Mon Sep 30 23:55:00 +0000 2024","0","info ganyang fufufafa","1840903202662990238","","","in","East Java, Indonesia","0","0","0","https://x.com/azhiyhdref/status/1840903202662990238","2739486272","azhiyhdref"
"1840308817629987112","Mon Sep 30 23:54:36 +0000 2024","0","@BosPurwa Motifnya mungkin salah satunya pengalihan isu fufufafa dan gratifikasi pisang","1840903103094362585","","BosPurwa","in","","0","0","0","https://x.com/KalaLangitkela/status/1840903103094362585","1642760679106183168","KalaLangitkela"
"1840786624713781462","Mon Sep 30 23:54:28 +0000 2024","0","@mazzini_gsp MIDS fufufafa UIPM RA dah intinya gitu","1840903068042609039","","mazzini_gsp","in","","0","0","0","https://x.com/mementomolli/status/1840903068042609039","1324587706878357507","mementomolli"
"1840902845643833746","Mon Sep 30 23:53:35 +0000 2024","1","FufuFafa Bahlulll Mulyono https://t.co/p4tFbKkLar","1840902845643833746","https://pbs.twimg.com/media/GYwzYZQbwAAbhlg.jpg","","in","Ruteng, Manggarai-NTT","0","0","0","https://x.com/igiT_0403/status/1840902845643833746","940104805036343296","igiT_0403"
"1840786624713781462","Mon Sep 30 23:53:30 +0000 2024","0","@mazzini_gsp Ga fufufafa ga Raffi Ahmad sama aja lulus dari universitas abal abal wkwkwk","1840902825418899678","","mazzini_gsp","in","Manchester, England","0","0","0","https://x.com/shelovame/status/1840902825418899678","1494843007","shelovame"
"1840786624713781462","Mon Sep 30 23:50:51 +0000 2024","0","@mazzini_gsp Ril cerminan junjungannya fufufafa ipk 2.3 kampus nugu tp lebih next level ini honoris causa kampus yg sbnrnya gaada existensinya di dunia akademisi","1840902156737790448","","mazzini_gsp","in","Seoul, Republic of Korea","0","0","0","https://x.com/lileannaard/status/1840902156737790448","1314393137045889024","lileannaard"
"1840626784922157564","Mon Sep 30 23:50:27 +0000 2024","0","@bacottetangga__ Paling pendukung fufufafa ini","1840902056586199133","","bacottetangga__","in","Munchen, Germany","0","0","0","https://x.com/GMPCGNA/status/1840902056586199133","285067944","GMPCGNA"
"1840653338385494184","Mon Sep 30 23:50:17 +0000 2024","0","@pensiunanremaja @Ichavarma_ Sungguh tragis romansa idup gua Tapi gua masih punya @L_MarshaJKT48 tuk dicintai ️","1840902015737860204","","pensiunanremaja","in","Marbella, Spain","0","1","0","https://x.com/faizdikra/status/1840902015737860204","3923436858","faizdikra"
"1840487124036096130","Mon Sep 30 23:50:00 +0000 2024","9","@KathaKathanya @wndprj Yg jelas jelas fufufafa se gak punya adab spt itu aja kita g bisa apa apa . Tetep jadi wakil presiden kita.","1840901944665391265","","KathaKathanya","in","Jepara, Indonesia","0","1","0","https://x.com/Sri_nuryantiK/status/1840901944665391265","918868911545753600","Sri_nuryantiK"
"1840786624713781462","Mon Sep 30 23:49:42 +0000 2024","150","@mazzini_gsp kalo pengalihan isu fufufafa masih rame","1840901870573011260","","mazzini_gsp","in","🌏","0","0","1","https://x.com/banyaklukanyaa/status/1840901870573011260","1298316647233544192","banyaklukanyaa"
"1840901837102465353","Mon Sep 30 23:49:34 +0000 2024","1","fufufafa aib nasional anjirrrr aint that his bestie ","1840901837102465353","","","in","","0","0","0","https://x.com/ssempervirens_/status/1840901837102465353","1830226667710844928","ssempervirens_"
"1840901825475854355","Mon Sep 30 23:49:32 +0000 2024","1","Fufufafa agak laen emang #FufufafaWapresPsikopat","1840901825475854355","","","in","","0","0","1","https://x.com/arapakeqalqalah/status/1840901825475854355","1412377596252233730","arapakeqalqalah"
"1840901462781776138","Mon Sep 30 23:48:05 +0000 2024","0","Percuma! Refly Harun: Gibran Mati-Matian Menghapus Akun FufuFafa https://t.co/4OuO5mi3MW","1840901462781776138","","","in","","0","0","0","https://x.com/bisnisbandung63/status/1840901462781776138","1690969676287983616","bisnisbandung63"
"1840680238528991548","Mon Sep 30 23:47:29 +0000 2024","0","@Ar_910 @ngurahsaka Gak ada bukti legal konkrit siapa Fufufafa yg ada tuduhan &amp; fitnah","1840901310910251499","","Ar_910","in","ga setuju sm gw = Islamophobia","0","1","0","https://x.com/pokamiami/status/1840901310910251499","39441147","pokamiami"
"1840786624713781462","Mon Sep 30 23:47:17 +0000 2024","23","@mazzini_gsp MULAI DEH PENGALIHAN ISU DARI JET PRIBADI FUFUFAFA IKN MULAI STRATEGI BLURRING MEDIA MASSA DENGAN MACEM2 BERITA GAK MAKE SENSE. JANGAN TERPENGARUH DENGAN PENGALIHAN ISU INI TETAP USUT FUFUFAFA DAN JET PRIBADI ITU !!!!","1840901260469551372","","mazzini_gsp","in","","0","0","0","https://x.com/BaladaSambada/status/1840901260469551372","1826767533447544836","BaladaSambada"
